RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost
150,3,1190,114950,1,1282,6250100,2,1063,27770,0,1149,1075,585;
1,0,2439,16666,610;
151,3,1428,1075,723;
152,3,3125,3125,1786;
101,2,9090,2439,4968;
51,1,33333,1030,1633;
153,3,1470,1162,730;
154,3,50000,5000,6659;
102,2,3225,2272,1624;
103,2,2083,5000,14227;
2,0,1219,8333,3092;
104,2,2564,1176,32303;
52,1,1785,1250,1529;
105,2,1818,50000,903;
53,1,2272,1234,7114;
3,0,1538,3571,1259;
54,1,5263,9090,2183;
4,0,2222,1612,1117;
5,0,2439,2857,1416;
6,0,1587,4000,2528;
7,0,1612,1470,829;
8,0,3846,5263,2639;
9,0,12500,25000,4893;
55,1,6250,1515,4735;
56,1,1694,4166,2613;
57,1,2040,2380,1185;
58,1,9090,4545,48182;
106,2,2564,1666,1334;
107,2,20000,1960,5217;
59,1,14285,2325,18040;
108,2,1724,2272,1133;
109,2,1149,2173,1216;
110,2,1886,2702,1375;
111,2,100000,6250,11960;
60,1,1851,9090,7239;
61,1,1470,1470,763;
62,1,8333,7142,45000;
155,3,1063,4545,3482;
156,3,1098,1219,614;
157,3,2500,1449,1357;
158,3,2777,1851,4111;
63,1,1030,1960,1429;
159,3,3846,1724,1112;
64,1,2439,1923,1217;
65,1,1694,3333,2318;
160,3,3448,6250,1900;
66,1,5882,5555,3453;
161,3,3703,5882,2986;
67,1,1020,1428,730;
68,1,5555,3703,3082;
162,3,3225,2941,1637;
163,3,1000,2500,1579;
164,3,1075,1111,572;
165,3,1282,100000,2857;
69,1,25000,9090,14312;
10,0,1492,1098,761;
11,0,2083,7692,5616;
12,0,4000,4000,2078;
13,0,50000,1333,98718;
166,3,1388,1818,917;
167,3,1449,3225,1933;
168,3,1666,4761,3175;
169,3,2857,3571,1778;
170,3,1449,1149,729;
171,3,8333,9090,48667;
14,0,1492,2127,1081;
15,0,16666,2222,14444;
16,0,3125,2222,1568;
17,0,2941,3333,1667;
18,0,4545,3225,2298;
19,0,1075,1204,16366;
70,1,1785,1052,4568;
172,3,2000,1333,611;
20,0,1428,1515,954;
71,1,12500,2702,1038;
173,3,4000,3846,778;
21,0,1388,1204,708;
22,0,1666,1333,815;
23,0,5882,1010,4872;
24,0,8333,4761,2027;
174,3,1176,1612,821;
175,3,1123,1449,727;
176,3,1428,1492,767;
177,3,9090,1010,8080;
178,3,1408,14285,9798;
72,1,11111,3030,12877;
179,3,1666,1333,837;
180,3,1369,1562,778;
181,3,3225,5000,4544;
25,0,1333,1851,928;
26,0,1204,1020,602;
27,0,3846,1315,8096;
73,1,5882,1333,2580;
28,0,6250,1428,2596;
182,3,2500,1754,4549;
74,1,1010,1639,871;
75,1,4545,1030,4822;
29,0,7142,1408,1267;
183,3,2941,2631,3515;
76,1,2272,5555,5734;
30,0,1960,1190,1478;
184,3,6666,1010,1045;
31,0,1886,1449,942;
32,0,7692,1020,5656;
185,3,1639,10000,3469;
77,1,1052,1851,1007;
78,1,1315,1075,652;
79,1,3448,3125,6672;
33,0,12500,2040,1744;
80,1,6250,2777,8361;
186,3,1010,4545,3535;
187,3,1111,1098,584;
188,3,1282,1470,739;
189,3,1562,1538,811;
190,3,1111,7692,10460;
34,0,25000,1204,3763;
81,1,1190,1052,603;
82,1,9090,2564,6581;
191,3,2272,1785,1137;
192,3,1176,2380,1377;
193,3,1123,8333,7210;
194,3,8333,7692,6544;
83,1,9090,3225,23796;
35,0,2000,1086,1108;
36,0,1149,1052,591;
37,0,1587,16666,6014;
84,1,2439,1694,15079;
38,0,4166,2127,1249;
85,1,3448,6250,2381;
39,0,1123,4347,3226;
40,0,1204,1351,668;
41,0,11111,2702,3445;
86,1,1149,1298,653;
87,1,1538,2777,1537;
88,1,1818,14285,4166;
