RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost;
0,0,25,1,175,7,150,6,100,4,75,3,50,2,125,5,1190,1149,613;
1,0,1282,1063,631;
26,1,1149,2222,1265;
76,3,2380,1515,1247;
126,5,1176,2173,1218;
27,1,1075,3125,2093;
77,3,1587,4166,2686;
151,6,1351,1136,676;
78,3,3225,2777,1608;
176,7,1785,1041,966;
79,3,2127,1724,1072;
80,3,2500,1923,1250;
177,7,5555,2040,3619;
28,1,1219,10000,8781;
127,5,1492,1030,769;
128,5,4000,3030,1991;
152,6,1000,7142,6142;
178,7,1724,3571,2087;
29,1,3225,1204,2087;
179,7,1298,9090,7792;
129,5,1562,2777,1524;
180,7,8333,1562,6771;
153,6,5882,1010,4872;
181,7,3571,1538,2185;
182,7,7142,4000,3899;
81,3,8333,5000,4424;
2,0,1282,6666,5384;
183,7,1020,4166,3146;
184,7,50000,1234,48766;
51,2,1234,2941,1818;
52,2,1315,1010,668;
53,2,1030,1265,632;
54,2,1886,1538,940;
55,2,2040,2702,1368;
56,2,25000,1449,23551;
82,3,4347,1388,2995;
57,2,1204,1538,770;
58,2,2564,2040,1279;
83,3,1111,2500,1515;
59,2,33333,1123,32210;
185,7,1162,4000,2852;
60,2,1162,1041,586;
61,2,1587,1666,844;
186,7,2439,1333,1338;
62,2,1538,1149,771;
63,2,1369,10000,8631;
84,3,4166,1785,2557;
187,7,1123,1298,653;
188,7,50000,1449,48551;
154,6,1492,3333,2010;
85,3,3846,2380,2026;
155,6,16666,1123,15543;
189,7,2941,7692,4948;
86,3,7142,2500,4753;
156,6,16666,1020,15646;
190,7,9090,1639,7451;
87,3,33333,4347,28986;
101,4,1176,6666,5490;
191,7,1265,1515,748;
102,4,14285,1098,13187;
157,6,6250,7692,3816;
64,2,5263,1492,3779;
88,3,1587,1923,959;
65,2,4166,1639,2645;
192,7,3571,2040,1952;
66,2,10000,11111,5546;
3,0,2777,1886,1423;
67,2,2222,1923,1104;
4,0,1234,1408,716;
68,2,3846,1000,2848;
5,0,2127,1020,1244;
69,2,1176,1960,1043;
70,2,1098,14285,13187;
6,0,1818,2941,1551;
7,0,6666,2857,4075;
71,2,1123,1111,582;
72,2,1351,1408,720;
73,2,1204,1639,827;
74,2,1351,1020,688;
20000,2500,17500;
158,6,5263,1000,4263;
159,6,3571,50000,46429;
130,5,1408,2272,1203;
131,5,2272,1086,1327;
132,5,2941,1123,1891;
133,5,1818,1470,900;
134,5,1369,50000,48631;
193,7,1515,1020,781;
194,7,100000,2040,97960;
30,1,1562,50000,48438;
103,4,7142,1063,6079;
135,5,4545,1265,3291;
195,7,2040,1369,1045;
136,5,4545,1219,3331;
31,1,1298,1333,671;
137,5,1754,2040,1003;
32,1,1041,2040,1152;
33,1,1428,2222,1172;
34,1,2631,5263,3009;
104,4,1123,10000,8877;
196,7,1388,2564,1432;
35,1,1176,4761,3586;
197,7,2857,2380,1433;
105,4,2083,2222,1137;
36,1,1086,1538,791;
106,4,3703,2857,1847;
107,4,1851,1492,942;
108,4,2439,7142,4795;
198,7,1315,1063,654;
109,4,2380,1162,1383;
