RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost
0,0,200,1,1190,1149,615;
1,0,14285,9090,7433;
2,0,1282,1190,651;
3,0,1515,1724,870;
4,0,1204,1960,1038;
5,0,1190,1075,606;
6,0,2083,1149,1153;
7,0,2702,1010,1756;
8,0,9090,16666,9230;
201,1,2222,1886,1114;
202,1,1470,2941,1681;
203,1,2500,1204,1461;
204,1,1818,1041,993;
205,1,11111,1666,9445;
9,0,3225,2127,1665;
206,1,1098,1041,564;
207,1,2702,3571,1780;
10,0,1190,2500,1472;
11,0,4166,1562,2699;
208,1,1052,1388,694;
12,0,3571,1562,2169;
209,1,1923,3125,1658;
13,0,1562,1041,808;
210,1,2040,1020,1175;
211,1,1562,1250,782;
212,1,2500,2222,1241;
213,1,10000,1298,8702;
14,0,1724,2702,1421;
214,1,1960,4166,2459;
15,0,1515,4761,3285;
215,1,4545,1538,3063;
216,1,2500,4347,2349;
217,1,1666,10000,8334;
218,1,3571,5555,2896;
219,1,5263,1408,3857;
220,1,1724,2500,1274;
221,1,1000,100000,99000;
222,1,1315,2083,1095;
223,1,1063,3030,2017;
224,1,7692,1694,5998;
225,1,1315,2777,1637;
226,1,1098,1111,572;
227,1,1030,1851,1012;
228,1,3571,14285,10714;
229,1,1176,1204,627;
230,1,3225,6666,3879;
231,1,1219,2941,1825;
232,1,3571,3333,1808;
233,1,10000,1234,8766;
234,1,2564,1666,1334;
235,1,1754,1754,911;
236,1,1785,1086,962;
237,1,1176,4545,3370;
238,1,1315,1149,668;
239,1,2500,3225,1611;
240,1,2222,4545,2630;
241,1,1754,1219,894;
242,1,1754,1075,943;
243,1,1449,6666,5217;
244,1,7142,2564,4696;
245,1,1282,1470,744;
246,1,1388,1052,700;
247,1,1388,5882,4494;
248,1,2941,4761,2515;
249,1,3846,1282,2609;
250,1,2380,1020,1452;
251,1,20000,20000,10343;
16,0,16666,1785,14881;
17,0,1020,5555,4535;
18,0,1000,16666,15666;
19,0,1612,1098,834;
20,0,2083,3225,1680;
21,0,1538,4347,2871;
22,0,6250,2777,3769;
23,0,1408,1724,865;
24,0,1639,1000,881;
25,0,2272,1388,1210;
26,0,1428,1960,990;
27,0,7692,1449,6243;
28,0,1063,1204,601;
29,0,1063,2325,1389;
30,0,1162,1098,596;
31,0,9090,6250,4646;
32,0,1190,1449,738;
33,0,1265,2941,1801;
34,0,5263,2380,3162;
35,0,1265,2000,1054;
36,0,1086,1612,833;
37,0,50000,1204,48796;
38,0,1408,1960,995;
39,0,10000,2127,7873;
40,0,2173,1000,1291;
41,0,1351,2500,1402;
42,0,3225,1063,2195;
43,0,2000,1010,1151;
44,0,1333,1052,674;
45,0,3448,3846,1945;
46,0,50000,6666,43334;
252,1,2325,4347,2419;
253,1,1818,1785,939;
254,1,1282,5000,3718;
255,1,4347,7692,4180;
47,0,1086,1136,582;
48,0,1190,1250,659;
49,0,1098,1923,1059;
50,0,2941,1333,1765;
51,0,2777,25000,22223;
52,0,1030,2500,1556;
53,0,2083,6250,4237;
54,0,33333,3571,29762;
256,1,5555,2941,3116;
55,0,1075,1515,766;
56,0,4347,1030,3317;
257,1,1265,7142,5877;
57,0,2702,5263,2989;
258,1,3225,3125,1650;
259,1,1315,1162,671;
260,1,3125,4347,2188;
261,1,2564,2631,1344;
262,1,50000,2272,47728;
58,0,3030,1086,1989;
59,0,1041,1515,791;
60,0,3333,2439,1652;
61,0,1176,4347,3178;
62,0,1265,1724,868;
63,0,1694,100000,98306;
263,1,2500,1351,1406;
264,1,2631,1851,1339;
265,1,2040,4000,2275;
266,1,1111,1818,969;
267,1,2439,50000,47561;
64,0,1020,2380,1453;
65,0,1754,1136,912;
66,0,1149,1724,882;
67,0,7142,1282,5860;
68,0,1265,1666,835;
