RANDOM SEQUENCES
lengthS,lengthT,MinCost;
1010,1149,576;
1219,1123,624;
1204,1234,639;
1063,1298,643;
1136,1265,648;
1369,1041,689;
1098,1408,696;
1470,1176,738;
1204,1234,633;
1470,1041,743;
1265,1020,645;
1190,1538,770;
1351,1298,690;
1086,1754,926;
1818,1111,972;
1149,2500,1497;
1724,1449,877;
1562,1587,837;
1052,2500,1545;
1075,2380,1433;
1428,1886,948;
2702,1000,1762;
1639,1754,893;
2439,1351,1343;
2272,1408,1204;
1785,1111,955;
2777,1149,1728;
2777,1149,1713;
2173,1470,1110;
1428,1149,718;
1694,2127,1064;
2173,1351,1142;
1333,1075,673;
2857,1219,1743;
1851,1694,940;
1492,1960,995;
1388,1052,699;
2631,1470,1437;
4166,1030,3137;
3333,1408,2051;
1176,1020,582;
1176,3703,2556;
3333,1388,2068;
1190,1851,961;
1063,1754,936;
3125,1515,1816;
1123,1098,586;
3225,1470,1935;
3448,1388,2165;
1075,1176,590;
1449,3703,2343;
2127,2040,1092;
4545,1149,3398;
1123,3125,2063;
1162,2631,1601;
3333,1923,1810;
1369,1176,683;
1234,2272,1268;
2083,1694,1046;
1351,1000,686;
2941,1176,1858;
1666,3846,2351;
6666,1020,5646;
1562,1086,798;
1785,1149,933;
1666,1785,917;
1176,5555,4379;
5000,1315,3687;
1282,6250,4968;
3571,1960,1981;
1754,4000,2426;
2040,3030,1552;
2857,1666,1535;
1587,5000,3451;
1666,1190,841;
2040,1041,1173;
1428,2380,1278;
2325,3571,1847;
2127,1075,1215;
2631,1886,1346;
1587,3333,1955;
6250,1515,4735;
4347,1052,3295;
1408,1754,880;
5555,1333,4222;
2000,4545,2749;
1063,8333,7270;
2702,1818,1406;
2040,1298,1067;
2000,2325,1155;
2857,2439,1424;
1639,4761,3184;
2000,5000,3150;
1515,2040,1002;
1470,7142,5672;
2222,1219,1238;
4761,1694,3146;
1075,10000,8925;
3703,3333,1874;
1162,1052,589;
4347,3030,2208;
3030,3333,1686;
7692,1851,5841;
1587,3571,2153;
2857,1250,1732;
3703,1190,2550;
1075,6250,5175;
1587,1449,799;
4545,1098,3447;
1639,4761,3186;
1086,1960,1089;
1851,7692,5841;
8333,1020,7313;
1851,1063,1006;
2941,3703,1842;
3703,3333,1871;
2173,2173,1122;
2127,1408,1104;
1470,2127,1078;
1388,3448,2174;
1408,7692,6284;
1250,3125,1971;
3333,1960,1791;
1724,2500,1282;
1315,3125,1930;
7142,1265,5877;
5555,1086,4469;
14285,1190,13095;
2702,7142,4605;
1754,11111,9357;
5555,1052,4503;
1176,1538,774;
5000,4000,2483;
6666,2083,4628;
6666,2083,4631;
2500,1030,1559;
1428,11111,9683;
1136,5000,3864;
4000,5555,2803;
8333,2857,5579;
2173,1785,1067;
2941,1785,1563;
3125,3703,1828;
1562,1086,791;
1587,16666,15079;
3125,2777,1575;
14285,1639,12646;
2173,5263,3274;
1923,2222,1095;
1470,2564,1394;
1111,2702,1684;
16666,1265,15401;
3571,8333,5100;
1562,11111,9549;
1724,4545,2934;
5263,5263,2729;
