RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost
0,0,1190,114925,1,50,2,75,3,7692,13691818,10003030,1639,614;
1,0,6250,2564,1012;
26,1,1960,1612,979;
27,1,1587,3571,1686;
51,2,25000,2941,6323;
76,3,2500,8333,2159;
28,1,1351,4000,2693;
29,1,1234,1818,3899;
2,0,11111,2040,926;
30,1,5263,1694,3616;
31,1,1282,1388,707;
32,1,2040,11111,5867;
77,3,1063,1639,865;
78,3,1204,3703,2534;
79,3,14285,1149,9071;
3,0,5263,2173,3279;
4,0,12500,4000,9071;
33,1,1754,1470,13136;
80,3,1515,1000,777;
81,3,7142,1162,880;
34,1,1234,1315,668;
35,1,1030,7142,5980;
82,3,1333,5882,6112;
36,1,6250,1315,4549;
83,3,1449,4166,2783;
84,3,1234,1639,829;
85,3,2380,33333,22059;
52,2,1449,1612,817;
53,2,1010,1234,4935;
37,1,1923,1639,613;
54,2,3448,2173,953;
38,1,2325,50000,1805;
55,2,4166,3448,8592;
5,0,1250,7142,2070;
56,2,2325,1515,1209;
57,2,1666,2564,5892;
6,0,1960,1923,1339;
58,2,1000,7692,1025;
7,0,1562,2777,1532;
8,0,1562,1010,818;
9,0,4545,2173,6692;
59,2,2083,1851,1046;
60,2,1639,1470,841;
61,2,2564,1075,1591;
62,2,4166,1162,2659;
10,0,1219,1111,599;
11,0,1587,1351,790;
12,0,1149,1030,3012;
63,2,1010,1149,583;
13,0,3448,3703,573;
64,2,4166,6250,1863;
14,0,1612,5000,30953;
86,3,1538,1785,3433;
15,0,3125,1587,901;
87,3,1886,5000,1780;
16,0,2000,2380,3218;
65,2,1190,1587,3220;
88,3,2380,2777,797;
66,2,3125,2631,1182;
17,0,1388,1470,757;
18,0,1265,1234,663;
19,0,12500,1176,1400;
89,3,1123,3125,1560;
67,2,2127,4166,2054;
90,3,4761,2380,2361;
68,2,100000,4761,11324;
20,0,1052,3030,2024;
21,0,1111,2631,2753;
91,3,1886,3333,1627;
22,0,1754,3448,1823;
92,3,1351,1886,1959;
23,0,3448,11111,958;
93,3,33333,14285,7731;
24,0,1086,1123,574;
,47675;
39,1,4000,4166,2135;
40,1,3030,6666,3975;
41,1,4545,2439,2540;
42,1,2564,1098,1572;
43,1,1149,3703,2577;
44,1,5555,1612,3963;
45,1,1010,5263,4253;
46,1,1408,1162,706;
47,1,4761,4000,2346;
48,1,1030,1923,1079;
49,1,3333,7142,4236;
,95239;
69,2,1388,1282,716;
70,2,2325,16666,20389;
94,3,1492,1886,945;
95,3,1000,1234,621;
96,3,5263,3333,2743;
97,3,3030,2000,14341;
71,2,11111,2702,1568;
98,3,1162,2439,1427;
99,3,3125,4000,2000;
,8409;
72,2,9090,11111,5509;
73,2,1020,11111,10091;
74,2,1052,1010,535;
task took 53.080000 seconds
----------------
COMPARE SET SEQUENCE WITH RANDOM SEQUENCES
n,threadId,lengthS,lengthT,MinCost
75,3,25,1,1035,144950,2,1035,31250,0,1035,31251035,1098,554;
26,1,1035,3125,735;
76,3,1035,3846,2123;
51,2,1035,2173,1276;
52,2,1035,3846,2123;
1,0,1035,2380,2126;
27,1,1035,2777,2812;
77,3,1035,50000,2814;
53,2,1035,1123,1457;
2,0,1035,50000,548;
54,2,1035,3571,1802;
28,1,1035,16666,2551;
55,2,1035,2500,1554;
56,2,1035,1470,757;
57,2,1035,2127,1237;
58,2,1035,2040,1166;
59,2,1035,1492,769;
60,2,1035,1075,553;
61,2,1035,2941,1961;
62,2,1035,1041,533;
63,2,1035,1470,753;
64,2,1035,1492,15631;
29,1,1035,14285,772;
65,2,1035,2127,1244;
66,2,1035,1123,578;
67,2,1035,3125,2127;
68,2,1035,3333,2321;
69,2,1035,1063,546;
70,2,1035,4347,13250;
30,1,1035,1000,3312;
71,2,1035,4761,531;
31,1,1035,5000,3726;
72,2,1035,1234,3965;
32,1,1035,1282,624;
73,2,1035,5555,647;
33,1,1035,4000,2967;
34,1,1035,4545,4520;
74,2,1035,1639,861;
,48965;
78,3,1035,5555,3510;
35,1,1035,4000,48965;
3,0,1035,2941,1954;
4,0,1035,1162,2968;
36,1,1035,1333,570;
5,0,1035,1098,660;
