RANDOM SEQUENCES
lengthS,lengthT,MinCost;
1190,1149,611;
2631,50000,47369;
1041,1282,642;
1111,1666,858;
2777,1000,1824;
11111,2040,9071;
2702,2000,1347;
1123,1162,612;
2083,1694,1050;
2173,3448,1805;
1234,1470,726;
1754,1298,883;
1724,1724,898;
12500,1492,11008;
1369,6250,4881;
2222,1282,1200;
33333,7142,26191;
33333,1176,32157;
5555,2272,3470;
1190,2040,1108;
1612,1282,805;
1785,3225,1777;
1515,2222,1136;
1960,1515,979;
1754,4545,2910;
20000,14285,10058;
1162,2941,1866;
2941,4000,1996;
1818,1010,1006;
2272,2040,1141;
8333,9090,4538;
5263,2000,3389;
1351,1612,811;
1470,2173,1122;
2380,3030,1509;
3030,2272,1527;
4166,2127,2377;
1639,1020,866;
4000,4545,2278;
16666,50000,33827;
1030,1219,608;
4000,1886,2373;
2439,50000,47561;
1250,11111,9861;
1754,1408,880;
1351,12500,11149;
3703,1470,2350;
1052,1020,533;
5882,2325,3722;
3571,1063,2522;
1851,12500,10649;
1754,1250,896;
8333,5263,4356;
2941,3448,1722;
2040,1886,1037;
1428,6250,4822;
3448,3333,1759;
2941,5000,2689;
2500,1428,1371;
10000,1612,8388;
1219,3571,2400;
50000,1428,48572;
3846,1515,2449;
1470,2857,1621;
3846,1176,2692;
1666,1136,852;
2222,2631,1319;
1265,1754,894;
7692,2380,5359;
2272,12500,10228;
1265,1282,667;
6666,2083,4632;
33333,1162,32171;
1298,2380,1321;
3448,4545,2272;
1785,4545,2885;
1315,1250,687;
2777,1515,1534;
1041,2777,1799;
1754,3225,1796;
1234,6250,5016;
3125,3333,1676;
2222,1851,1097;
6250,4000,3258;
4545,1250,3303;
1666,2083,1033;
3030,9090,6165;
1030,5263,4233;
4347,1041,3306;
1538,1010,798;
2222,9090,6868;
3030,33333,30303;
1694,7692,5998;
1250,5555,4305;
2857,2127,1438;
2272,1351,1216;
2500,6666,4313;
2564,5882,3573;
2631,33333,30702;
1010,5263,4253;
3225,2857,1610;
10000,2222,7778;
4000,3333,1990;
2564,2702,1374;
2631,4545,2438;
1234,1449,722;
1428,2000,988;
4347,10000,6087;
1052,1204,600;
2439,1075,1472;
3030,4347,2205;
1724,1041,924;
5000,3448,2542;
1010,5263,4253;
4761,11111,6814;
1470,2380,1269;
1587,3030,1703;
1234,12500,11266;
1282,2702,1593;
2380,1851,1186;
1587,1562,845;
1818,1886,964;
1960,2777,1411;
1052,12500,11448;
1333,1123,664;
1282,1265,680;
1428,1694,848;
1063,1408,708;
33333,11111,22545;
2083,1428,1071;
1333,1694,864;
2380,2380,1238;
1204,1388,700;
1234,1063,623;
1851,1960,1008;
1176,3225,2113;
1010,2325,1420;
1666,4166,2622;
1333,1000,675;
1538,1315,774;
1515,3571,2206;
9090,16666,9218;
1010,1351,679;
33333,3571,29762;
7142,1052,6090;
2857,3125,1575;
1063,2439,1488;
8333,1639,6694;
4000,2631,2054;
1315,1041,667;
16666,16666,8645;
1298,1041,648;
1136,5000,3864;
2941,1052,1943;
1492,6250,4758;
3571,1587,2162;
2222,1086,1300;
3225,6666,3872;
1086,1960,1077;
1020,4000,2981;
1123,1724,892;
1123,8333,7210;
1408,1538,790;
1538,4761,3270;
1408,1136,700;
11111,2777,8334;
1063,3125,2100;
1754,1369,876;
2500,20000,17500;
3571,3333,1817;
4347,33333,28986;
4000,1562,2547;
11111,6250,6065;
7692,1086,6606;
1204,1098,601;
1449,1428,759;
5000,4761,2551;
6250,1369,4881;
1694,1754,896;
1265,8333,7068;
2857,1162,1794;
1315,16666,15351;
2631,1075,1639;
1785,1754,928;
1063,2040,1148;
25000,1063,23937;
1123,1041,577;
4545,16666,12136;
1724,50000,48276;
4545,2083,2704;
12500,1923,10577;
2380,1136,1395;
1886,9090,7204;
1219,1190,623;
1923,2325,1157;
1785,2702,1373;
4166,7142,3845;
2272,1234,1252;
5555,5263,2813;
1369,1265,689;
1063,1041,560;
3571,1960,1981;
2702,2439,1347;
3333,3448,1754;
3448,1315,2220;
12500,20000,10458;
4347,1000,3347;
3333,1111,2260;
3030,2000,1558;
14285,7692,7923;
1694,1250,859;
3846,1408,2511;
14285,2857,11428;
3125,1639,1763;
2500,1538,1336;
1639,1219,831;
1010,1886,1061;
1265,3225,2048;
1818,1098,972;
8333,1234,7099;
1030,1754,946;
1075,1123,579;
2564,1333,1471;
1754,1190,896;
2083,20000,17917;
1136,4761,3625;
2777,25000,22223;
1886,4761,3019;
11111,3125,8010;
1162,1086,598;
3703,14285,10586;
1315,2173,1153;
2325,1298,1282;
2564,1785,1297;
5000,7142,3624;
1333,2040,1054;
2631,1724,1368;
1515,1234,755;
1492,20000,18508;
1075,2631,1649;
2040,1282,1089;
2857,100000,97143;
2272,1587,1152;
1562,1136,800;
1010,1265,637;
1851,1694,928;
1492,2857,1614;
2564,3333,1656;
25000,10000,15728;
1754,8333,6579;
4761,2380,2726;
2173,9090,6917;
5555,1515,4048;
2380,3571,1842;
2941,1162,1858;
1639,7142,5503;
3125,1538,1810;
1562,1960,970;
7692,1052,6640;
14285,1449,12836;
1315,2325,1272;
5555,8333,4280;
1851,4545,2847;
2380,5882,3687;
1075,1587,818;
1538,1923,957;
2500,3333,1674;
1785,20000,18215;
2857,1020,1889;
1030,5555,4525;
2040,1282,1080;
1587,2127,1072;
33333,1204,32129;
1470,1315,735;
5000,1369,3639;
